address, lat_address;long_address, lat_nearby1;long_nearby2, lat_nearby2;long_nearby2, lat_nearby3;long_nearby3
1122 S. Veterans Parkway,40.4611694664365;-88.96145261359379,40.48318678557067;-89.01843220904047,40.50989448048966;-88.95701685551103,40.62530069433705;-89.46511656045914
1702 W. Market St,40.48318678557067;-89.01843220904047,40.4611694664365;-88.96145261359379,40.50989448048966;-88.95701685551103,40.62530069433705;-89.46511656045914
2036 State Route 50 North,41.18678516222592;-87.85069763660425,41.15874989811457;-87.88639877738206,41.24933685049473;-87.84809210796925,41.07861640512747;-87.86725719274727
582 Main NW,41.15874989811457;-87.88639877738206,41.18678516222592;-87.85069763660425,41.07861640512747;-87.86725719274727,41.24933685049473;-87.84809210796925
1000 Kennedy Dr,42.11807761740322;-88.25845067204682,42.104193363686704;-88.29152718191835,42.0468367;-88.254078,42.060564704857526;-88.31586494112344
137 S Western Ave,42.104193363686704;-88.29152718191835,42.11807761740322;-88.25845067204682,42.060564704857526;-88.31586494112344,42.0468367;-88.254078
10 East Anthony Drive,40.13693959877484;-88.24267974327375,40.11621919413091;-88.2211232955045,40.11040807704788;-88.23139028587913,40.11310680492556;-88.27911121174185
1707 S. Neil Street,40.0954544;-88.2455565,40.11040807704788;-88.23139028587913,40.11621919413091;-88.2211232955045,40.11310680492556;-88.27911121174185
1910 West Springfield,40.11310680492556;-88.27911121174185,40.0954544;-88.2455565,40.11040807704788;-88.23139028587913,40.13693959877484;-88.24267974327375
512 E. Green Street,40.11040807704788;-88.23139028587913,40.11621919413091;-88.2211232955045,40.0954544;-88.2455565,40.13693959877484;-88.24267974327375
1107 W. Addison,41.94700218761938;-87.65738958934418,41.94013744513371;-87.65235996298411,41.93665339994458;-87.64410034980062,41.928519368920455;-87.67331013500873
1160 N. Clark,41.9037;-87.6317,41.896910812140426;-87.62735073092199,41.892394452962705;-87.62221500277525,41.885339;-87.626533
1363 East 53rd Street,41.79921643473022;-87.59249694654828,41.79390539041682;-87.63258032846481,41.8329333;-87.6164221,41.75244929284412;-87.58651092281517
1439 N Milwaukee Avenue,41.90817139294828;-87.6735638156697,41.91836393738077;-87.65278630613425,41.928519368920455;-87.67331013500873,41.9253447682456;-87.70163886242611
1644 W 95th St,41.721495915090145;-87.66450754836114,41.749710637420634;-87.68320068689334,41.67910169304596;-87.72018933312398,41.66127053083133;-87.66131490468979
178 North Wabash Ave,41.885339;-87.626533,41.892394452962705;-87.62221500277525,41.87641254899177;-87.62900101410351,41.8824635;-87.641066
205 E Ohio Street,41.892394452962705;-87.62221500277525,41.896910812140426;-87.62735073092199,41.885339;-87.626533,41.9037;-87.6317
22 E Chicago Ave,41.896910812140426;-87.62735073092199,41.892394452962705;-87.62221500277525,41.9037;-87.6317,41.885339;-87.626533
2407 N. Clark Street,41.92584621763694;-87.64039197055224,41.93665339994458;-87.64410034980062,41.91836393738077;-87.65278630613425,41.94013744513371;-87.65235996298411
2410 S Western Ave,41.84800381723727;-87.68587729840073,41.86674715314521;-87.71031631627356,41.80925171562311;-87.67527251567502,41.84951846839155;-87.74393592776505
2432 N Milwaukee Ave,41.9253447682456;-87.70163886242611,41.93840055201599;-87.72226233782021,41.928519368920455;-87.67331013500873,41.90817139294828;-87.6735638156697
255 W Garfield Blvd,41.79390539041682;-87.63258032846481,41.79921643473022;-87.59249694654828,41.80925171562311;-87.67527251567502,41.8329333;-87.6164221
2575 North Clybourn,41.928519368920455;-87.67331013500873,41.91836393738077;-87.65278630613425,41.94013744513371;-87.65235996298411,41.90817139294828;-87.6735638156697
2807 W Irving Park Rd,41.953733681525094;-87.6986168654966,41.93840055201599;-87.72226233782021,41.9253447682456;-87.70163886242611,41.94700218761938;-87.65738958934418
3001 N. Broadway,41.93665339994458;-87.64410034980062,41.94013744513371;-87.65235996298411,41.92584621763694;-87.64039197055224,41.94700218761938;-87.65738958934418
3143 N Milwaukee Ave,41.93840055201599;-87.72226233782021,41.9253447682456;-87.70163886242611,41.953733681525094;-87.6986168654966,41.9389098;-87.7598273
3350 W. Roosevelt Rd,41.86674715314521;-87.71031631627356,41.84800381723727;-87.68587729840073,41.84951846839155;-87.74393592776505,41.884084883916735;-87.65141170775549
3365 S Martin Luther King Drive,41.8329333;-87.6164221,41.79921643473022;-87.59249694654828,41.79390539041682;-87.63258032846481,41.87641254899177;-87.62900101410351
3509 N Harlem,41.94361547544458;-87.80670028425531,41.92421252969922;-87.79155367361068,41.97223363460947;-87.80749245161358,41.9389098;-87.7598273
3511 Devon Avenue,41.99703140096711;-87.71655593814103,41.999947347072506;-87.66104189055474,42.032261107764384;-87.74688810110098,41.953733681525094;-87.6986168654966
407 S. Dearborn,41.87641254899177;-87.62900101410351,41.885339;-87.626533,41.8824635;-87.641066,41.892394452962705;-87.62221500277525
4523 W North Ave.,41.90913663769397;-87.73982576856199,41.93840055201599;-87.72226233782021,41.9253447682456;-87.70163886242611,41.9389098;-87.7598273
4614 S Damen Ave,41.80925171562311;-87.67527251567502,41.79390539041682;-87.63258032846481,41.795358;-87.723614,41.84800381723727;-87.68587729840073
500 W. Madison Ave,41.8824635;-87.641066,41.884084883916735;-87.65141170775549,41.87641254899177;-87.62900101410351,41.885339;-87.626533
5312 W Belmont Ave,41.9389098;-87.7598273,41.92421252969922;-87.79155367361068,41.93840055201599;-87.72226233782021,41.90913663769397;-87.73982576856199
5350 S Pulaski,41.795358;-87.723614,41.7721034;-87.7418102,41.80925171562311;-87.67527251567502,41.792306778611646;-87.79567368331305
6460 N Sheridan Road,41.999947347072506;-87.66104189055474,41.99703140096711;-87.71655593814103,41.94700218761938;-87.65738958934418,41.953733681525094;-87.6986168654966
6622 W. Fullerton Ave.,41.92421252969922;-87.79155367361068,41.94361547544458;-87.80670028425531,41.9389098;-87.7598273,41.90913663769397;-87.73982576856199
6631 South Cicero,41.7721034;-87.7418102,41.795358;-87.723614,41.792306778611646;-87.79567368331305,41.749710637420634;-87.68320068689334
6944 Archer,41.792306778611646;-87.79567368331305,41.82543206157541;-87.79701320221648,41.7721034;-87.7418102,41.795358;-87.723614
7856 S. Stoney Island Ave,41.75244929284412;-87.58651092281517,41.79921643473022;-87.59249694654828,41.79390539041682;-87.63258032846481,41.721495915090145;-87.66450754836114
7906 S. Western Avenue,41.749710637420634;-87.68320068689334,41.721495915090145;-87.66450754836114,41.7721034;-87.7418102,41.795358;-87.723614
920 W Belmont Ave,41.94013744513371;-87.65235996298411,41.93665339994458;-87.64410034980062,41.94700218761938;-87.65738958934418,41.92584621763694;-87.64039197055224
941 W Randolph St,41.884084883916735;-87.65141170775549,41.8824635;-87.641066,41.87641254899177;-87.62900101410351,41.885339;-87.626533
948 W Armitage,41.91836393738077;-87.65278630613425,41.92584621763694;-87.64039197055224,41.928519368920455;-87.67331013500873,41.90817139294828;-87.6735638156697
2714 N Vermillion St,40.16852640529454;-87.63113379483912,40.11362895895308;-87.63653522168343,40.307886;-88.171828,40.11621919413091;-88.2211232955045
501 South Gilbert,40.11362895895308;-87.63653522168343,40.16852640529454;-87.63113379483912,40.11621919413091;-88.2211232955045,40.307886;-88.171828
1991 Mt Zion Rd,39.818315573237214;-88.87881763284895,39.87651629080114;-88.94797674845444,39.915911256971334;-88.9559568464756,39.40621680347352;-88.80483875536628
753 Pershing Road,39.87651629080114;-88.94797674845444,39.915911256971334;-88.9559568464756,39.818315573237214;-88.87881763284895,39.555176029271095;-89.29705314339571
1175 E. Oakton,42.02344867367876;-87.89637027075514,42.03453129614077;-87.94019766225945,41.992027616028594;-87.86293915939495,42.00563963220184;-87.96031057315008
945 Elmhurst Rd,42.03453129614077;-87.94019766225945,42.00563963220184;-87.96031057315008,42.02344867367876;-87.89637027075514,42.05698610945212;-88.0022065249068
9870 N Milwaukee,42.06056872214917;-87.84452317049727,42.042434;-87.799546,42.08698485402113;-87.7977128835537,42.01839337434631;-87.80624091415292
1010 Summit Street,42.0468367;-88.254078,42.019814185836594;-88.20223597576842,42.060564704857526;-88.31586494112344,42.02595104858424;-88.3125047644277
1160 N McLean Blvd,42.060564704857526;-88.31586494112344,42.02595104858424;-88.3125047644277,42.104193363686704;-88.29152718191835,42.0468367;-88.254078
304 South McLean Blvd,42.02595104858424;-88.3125047644277,42.060564704857526;-88.31586494112344,42.0468367;-88.254078,41.9771073510313;-88.3414158015512
1400 Busse Rd,42.00563963220184;-87.96031057315008,42.03453129614077;-87.94019766225945,41.96469583041207;-87.98897852005211,42.02344867367876;-87.89637027075514
601 Meacham Rd,42.00759913329598;-88.0453160405159,42.01005350448125;-88.07962417602533,42.04863027222513;-88.0861611172414,42.05698610945212;-88.0022065249068
161 S Harlem Ave,41.883565900202534;-87.80529810491863,41.86447803374293;-87.8113706410204,41.84729536054644;-87.81073410292761,41.90869910461482;-87.84426663817612
7510 Roosevelt Rd,41.86447803374293;-87.8113706410204,41.84729536054644;-87.81073410292761,41.883565900202534;-87.80529810491863,41.82543206157541;-87.79701320221648
2118 E Main St,40.94706207394775;-90.33823452425167,40.95741204331316;-90.38369961085664,40.92604600190214;-90.64926087856293,41.22321897881268;-89.92787767948357
850 N Henderson St,40.95741204331316;-90.38369961085664,40.94706207394775;-90.33823452425167,40.92604600190214;-90.64926087856293,41.22321897881268;-89.92787767948357
145 North Avenue,41.90223968514989;-88.08410651721974,41.93710903648292;-88.07795606556283,41.85959810478771;-88.07354176876206,41.951613180825404;-88.12001019716263
270 E Army Trail Rd,41.93710903648292;-88.07795606556283,41.951613180825404;-88.12001019716263,41.90223968514989;-88.08410651721974,41.94137199999999;-88.15278061226849
1261 Engineer Rd,38.750664530000186;-90.07257346810547,38.70269790670923;-90.14339922200479,38.69140246493201;-89.98514663062222,38.79278268227334;-89.95086228402269
2167 Madison Ave,38.70269790670923;-90.14339922200479,38.65191351347791;-90.13140786019575,38.750664530000186;-90.07257346810547,38.677130894148256;-90.2529226399175
1890 Army Trail Rd.,41.94137199999999;-88.15278061226849,41.951613180825404;-88.12001019716263,41.97278942006361;-88.20758251446715,41.93710903648292;-88.07795606556283
7660 Barrington Road,42.00995049608011;-88.14510753090164,42.019814185836594;-88.20223597576842,42.01005350448125;-88.07962417602533,42.04863027222513;-88.0861611172414
125 S. Larkin Ave.,41.51951354621406;-88.12499830130037,41.55574429936104;-88.12642561821463,41.53826942978163;-88.19869814207777,41.57787387243042;-88.1601275950834
2924 Plainfield Rd,41.57787387243042;-88.1601275950834,41.576227;-88.165562,41.55574429936104;-88.12642561821463,41.53826942978163;-88.19869814207777
3340 Mall Loop Dr,41.576227;-88.165562,41.57787387243042;-88.1601275950834,41.55574429936104;-88.12642561821463,41.53826942978163;-88.19869814207777
1525 E Riverside Blvd,42.31746535238705;-89.03422667648101,42.31931421376274;-88.9793781441466,42.365058610873376;-89.03313969077317,42.26557140542666;-89.0384048464727
4001 McFarland Road,42.31931421376274;-88.9793781441466,42.31746535238705;-89.03422667648101,42.26645428125054;-88.99603039026255,42.365058610873376;-89.03313969077317
2712 Walton Way,37.74205406205163;-88.96956264689432,37.73118257734578;-88.93609250351335,37.78693461599515;-89.02815923094755,37.89809875293721;-88.95006640167367
928 W. Main Street,37.73118257734578;-88.93609250351335,37.74205406205163;-88.96956264689432,37.78693461599515;-89.02815923094755,37.89809875293721;-88.95006640167367
4120 Avenue of the Cities,41.489661654397445;-90.47775372862816,41.4665994705976;-90.50631047842808,41.49480953803576;-90.54737905555317,41.55276724718308;-90.48188567161554
4650 16th Street,41.4665994705976;-90.50631047842808,41.489661654397445;-90.47775372862816,41.49480953803576;-90.54737905555317,41.55276724718308;-90.48188567161554
1610 S. 10th St.,38.30133206713776;-88.90270829628291,38.313652305272484;-88.94309163093567,38.52939462220783;-89.15126486680492,37.996454269770176;-88.92826153906753
4205 Broadway,38.313652305272484;-88.94309163093567,38.30133206713776;-88.90270829628291,38.52939462220783;-89.15126486680492,38.624705889810166;-88.96405309438705
2015 S Lake St,42.239322778359394;-87.99372491240774,42.243435;-87.949649,42.27607779611406;-88.04039075033876,42.29698063006278;-87.95606553554535
900 N. Route 83,42.27607779611406;-88.04039075033876,42.239322778359394;-87.99372491240774,42.341768213834754;-88.03273473681656,42.29698063006278;-87.95606553554535
1287 Rickert Dr,41.748257196107055;-88.16902414710967,41.763233344111775;-88.20053767738654,41.78638945332056;-88.07082304361757,41.710178163920204;-88.06827150290701
2775 Aurora Ave,41.763233344111775;-88.20053767738654,41.748257196107055;-88.16902414710967,41.77801992857256;-88.28223516048638,41.8174;-88.2795
1141 Central Park Dr.,38.5729136;-89.9315993,38.592102021459645;-89.95108206690104,38.59551236549604;-89.98568616812918,38.5169644;-89.9518236
1403 W US Highway 50,38.592102021459645;-89.95108206690104,38.5729136;-89.9315993,38.59551236549604;-89.98568616812918,38.5169644;-89.9518236
1224 E. Dundee Rd.,42.13960830699689;-88.01524109830522,42.1166295;-88.0342405,42.139306301042375;-87.95981109725857,42.094717788641915;-87.95317505301682
320 N Northwest Hwy,42.1166295;-88.0342405,42.13960830699689;-88.01524109830522,42.139306301042375;-87.95981109725857,42.094717788641915;-87.95317505301682
1811 N Knoxville Ave,40.709074297509304;-89.59449827671057,40.725839650272185;-89.63244102897988,40.66986067406411;-89.57826554775232,40.77028396909345;-89.6572821162531
3101 N Sterling Ave,40.725839650272185;-89.63244102897988,40.709074297509304;-89.59449827671057,40.77028396909345;-89.6572821162531,40.66986067406411;-89.57826554775232
4115 W. Partridge Way,40.77028396909345;-89.6572821162531,40.793344662329595;-89.60609378060326,40.725839650272185;-89.63244102897988,40.709074297509304;-89.59449827671057
8711 N Knoxville,40.793344662329595;-89.60609378060326,40.77028396909345;-89.6572821162531,40.725839650272185;-89.63244102897988,40.709074297509304;-89.59449827671057
3828 Broadway,39.934864057608046;-91.35389251158503,39.93519394494881;-91.40215694904327,39.72125331072642;-91.3926617056677,40.41874551235729;-91.4078844040796
826 Broadway,39.93519394494881;-91.40215694904327,39.934864057608046;-91.35389251158503,39.72125331072642;-91.3926617056677,40.41874551235729;-91.4078844040796
2182 S Perryville Rd,42.24334950441524;-88.97923018507063,42.24581758097438;-88.97562892643603,42.26645428125054;-88.99603039026255,42.26557140542666;-89.0384048464727
2602 Auburn St,42.28815663579016;-89.09907911719529,42.26557140542666;-89.0384048464727,42.31746535238705;-89.03422667648101,42.2283215639528;-89.07185965741783
3114 11th Street,42.2283215639528;-89.07185965741783,42.26557140542666;-89.0384048464727,42.28815663579016;-89.09907911719529,42.26645428125054;-88.99603039026255
3805 East State St.,42.26557140542666;-89.0384048464727,42.26645428125054;-88.99603039026255,42.2283215639528;-89.07185965741783,42.24334950441524;-88.97923018507063
6161 E State St,42.26645428125054;-88.99603039026255,42.24581758097438;-88.97562892643603,42.24334950441524;-88.97923018507063,42.26557140542666;-89.0384048464727
7200 Harrison Ave,42.24581758097438;-88.97562892643603,42.24334950441524;-88.97923018507063,42.26645428125054;-88.99603039026255,42.26557140542666;-89.0384048464727
1950 Bircher Rd,41.898396061493436;-88.3353278785944,41.921626971299446;-88.28508687661669,41.848315666570855;-88.33955118792225,41.9771073510313;-88.3414158015512
510 Dunham Road,41.921626971299446;-88.28508687661669,41.898396061493436;-88.3353278785944,41.9771073510313;-88.3414158015512,41.97278942006361;-88.20758251446715
275 W. Golf Road,42.04863027222513;-88.0861611172414,42.01005350448125;-88.07962417602533,42.00759913329598;-88.0453160405159,42.00995049608011;-88.14510753090164
951 S Roselle Rd,42.01005350448125;-88.07962417602533,42.00759913329598;-88.0453160405159,42.04863027222513;-88.0861611172414,42.00995049608011;-88.14510753090164
1290 Toronto Rd,39.71342708112174;-89.63630281762107,39.7579753;-89.6461262,39.76444848177882;-89.71098331307113,39.83321611075972;-89.6041586719274
2300 N. Dirkson Parkway.,39.83321611075972;-89.6041586719274,39.7579753;-89.6461262,39.76444848177882;-89.71098331307113,39.71342708112174;-89.63630281762107
3025 W White Oaks Dr,39.76444848177882;-89.71098331307113,39.7579753;-89.6461262,39.71342708112174;-89.63630281762107,39.83321611075972;-89.6041586719274
731 Adlai Stevenson Dr.,39.7579753;-89.6461262,39.71342708112174;-89.63630281762107,39.76444848177882;-89.71098331307113,39.83321611075972;-89.6041586719274
2780 Belvidere Rd,42.34981248851059;-87.87064678969722,42.318737917884675;-87.86658395828454,42.3204620161733;-87.84043250019494,42.410466998625544;-87.85553865332352
3200 N Lewis Ave,42.410466998625544;-87.85553865332352,42.459820634799634;-87.82470166683197,42.34981248851059;-87.87064678969722,42.38568450837375;-87.9592042468585
